,business_id,name,latitude,longitude,cluster
29,_8Hejg5Q-_izIhLvq2ocnw,Sancho's Authentic Mexican Restaurant,40.0706936,-105.2003756,1
30,xSLdQjPgMhBrNIEtUgdWUA,Colossus Pizza,33.8507753117,-84.209299451,6
31,zY12NvWB5QKNuLh9tbLEsA,Donnie's Country Cookin',33.8551066087,-84.3133151086,9
32,r_sOAVfNPaXrpjznZpuxeg,Papi Chulo's,45.5274187,-122.6844472,5
33,Pk4ZwXwUU50BDn5gqw_rKg,Johnny Carino's,30.162081,-97.789132,6
34,V0rGM46G0x2cy9RfUt1qPQ,Chung's Asian Cuisine,42.206267,-71.024461,6
35,diB_y_0tPzz-OAe5xgFXtw,Chick-fil-A,33.8275823,-84.328604,9
36,v7w5h6JMrhumvoJA8n5VZQ,Dunkin',28.6182223633,-81.2649572735,7
37,ZaMMUcOIngBCgxuKxFzfqg,McDonald's,39.919976,-83.1258222,9
38,y030N-DD6G7lfWHO4A6ezw,Saltgrass Steak House,28.3732694002,-81.5030797147,6
39,fD9EopsUWvimsi4eaS7uMA,The Wheelhouse Diner,42.2722338,-71.02395,2
40,SHHxhkzbKBKvv2Mqe2Ylrw,Ernie's Lunch,42.468583,-71.0681737,2
41,76nVJTAWggnJu7FfTRU1UQ,Bellagios Pizza,45.4279596,-122.5391952,4
42,j4kjeLmlcMKG9fsqr5vjMQ,Crepe Delicious,28.540813,-81.3802985,7
43,m_a0-8_wR1ypvZzDGeSIgA,Wingstop,30.0134653475,-97.8636249301,8
44,7IPhANX229XHo6I5w_BzxA,Lotus Kitchen,45.522063,-122.579848,7
45,iDcT8noFyv1sEVzzEWq1ow,Flaming Grill & Buffet,42.274196,-71.115652,5
46,GyglPdfJM89if_5XSBIN7Q,Never Coffee,45.5214333486,-122.683917135,0
47,r-hWf-bd9im5rj_l2MeofQ,Take Five Café,49.283532,-123.117107,7
48,IFB2K3BEZ2L_Mv5AbUD26Q,Chispas,30.2669961,-97.7453625,4
49,fBvQQUk1-V9IUA8PbuYFWg,Newk's Eatery,30.2666386,-97.7436592,8
50,bBNCUzEJZn8ASQ5LNWOHEg,Panera Bread,42.1018007,-71.0665358,0
51,LjQ_z_eYTvbPkdnxD_Ucrw,Zaika Indian Contemporary Cuisine,30.3729298,-97.7240756,0
52,9Bt9MMtmjPB6IykEMrFB7A,Tavern in the Square,42.4852702,-71.2121289,5
53,lyhNDfX8UatlRO5H3Kfccg,Caspian Kabob,45.554568,-122.675674,1
54,FJ-r3hOMbcq0p7Z5yH9oew,Olive Garden Italian Restaurant,28.3417838,-81.4216743,5
55,yHY9b4CiCe6dtx7K--_JRg,John's Fine Food,33.640923,-84.3624404,8
56,AaNj_9KNy9t1H1cu1NCNLQ,Mumbai Masala Restaurant,49.310091,-123.041686,6
57,Xz6aqENKlT4FU-ZBvrf_ow,Bugambilias,28.464982,-81.390952,4
58,6Y0lQh4O-9JCutgyuMNq0g,Loca Luna,33.788608261,-84.3690906035,3
59,SI0R_Fw7kFc_2bO_SX2rqw,Tuscan Kitchen,42.485395,-71.210903,3
60,DgJSDdnPOvLCCyuryIh-3Q,Matt & Memere's,45.496485,-122.626764,8
61,PP4IjZwLwBqFT3AlnEhajw,Wendy's,42.5272163,-70.9936175,9
62,loRoCo53b30zgHZ_mIMatQ,Amrheins,42.3418764,-71.055116,5
63,GXoyghOLMeUOTwbhexXlOg,Kings Deli,45.5773886,-122.6430574,7
64,aoH2NWs312ES--8bJTDJEw,McDonald's,42.4957023,-71.0167222,0
65,_nzPPOik-fYE1i4LqKutIQ,Round Table Clubhouse,45.404002,-122.621769,6
66,mw_qxZJraNu7Q6u0GkcMew,Chatham's Place,28.4518821484,-81.487382886,3
67,fMZRia9Jq8CXgP3Wna6_gg,Cha Ba Thai,45.5425541,-122.6033063,1
68,-Eg1pMVoWg8YR6-O4QuTxw,Fiouna's Persian Fusion Cuisine,42.343415,-71.099013,1
69,A2EQ-c_AaRoTmRGfO-HByQ,HOTLIPS Pizza - Hawthorne,45.512154,-122.6431199,1
70,N78TSwxdXeYZaKZsyvkryA,Code 10,42.3379247,-71.074729,0
71,eOnMGfoj3YOxGPDjrDE-sg,Panda Express,30.4183815514,-97.7019745078,8
72,n-_p1jwGCbZT9YaTbugsdw,Vivi bubble Tea,28.5534641199,-81.3649773955,4
73,6DcaOhKuSj6TzSDH9xHOnQ,Philly Cheesesteak Place,33.8116376253,-84.3572405323,9
74,F0n25o5lpaFJpEW8DFS8Ww,Greater Goods Coffee Roasters,30.3075574,-97.9262186,8
75,88VLUjOxXyayaaSFS_K4Dw,Ossorio,28.3547972,-80.7259893,2
76,BICRl8FOudjjloh1kc9Glw,Wendy's,28.4913358,-81.4287783,9
77,XqaO85CV9Km7m_aQ3iIpRA,Cactus Club Cafe,49.1668313,-123.1377469,5
78,lUutRoZOtqOgrBuCLdpD-A,Dunkin',42.2764590193,-71.1667689998,7
79,D_i7FJvOLcnu2uMZ-TGV3A,Firenza Pizza,45.4433264,-122.8033274,4
80,3fgpLKoDYpS3B1P57rv2vg,Gallo Nero,42.524193,-70.923611,6
81,KBSGRQOYZqR0reJR_2osBw,Waffle House,33.6832923,-84.2329644,8
82,CKDU9kpeLQy56_X0urimfA,Tea Traders Cafe by Joffrey's,28.3717155355,-81.5178891589,7
83,wVlxPWwFL-MrzCXim-UfWg,Bambolina Restaurant,42.520415,-70.8916573,6
84,Dz3GF5EvC3kzM-Jf_nLCDw,McDonald's,45.526686131,-122.5382611156,8
85,Eexegu4YJJd1kgCxjTHv8w,The Venetian Weymouth,42.2152546,-70.9235181,7
86,F5_NonP-uoq4v3qplmjiLA,Bonefish Harrys,42.5485043,-70.8787593,8
87,E4ejoHJHIOvVhkca3kWRuQ,McDonald's,45.4977464697,-122.6360719,8
88,nDr6VgO_4N6N_XvAkMYFwA,Rock & Brews - Kissimmee,28.346621,-81.610219,5
89,FrFDIPBzRbFVfanxG4wcNQ,Exotic Latin Grill,40.0147968,-83.0014099,9
90,SRHQEF2-VPS_dl1_ZDH0gA,Laughing Planet,45.4789575,-122.6202643,9
91,ynM2sHgvOG4DBJNDf1GKUQ,Publix Super Markets,28.5142749,-81.1543345,8
92,SlGmAWMubRSgU70Kswkmhw,Taste of Eden,42.2892076,-71.0728744,1
93,P0l1XH6KHqo6rk-R03SDXA,White Castle,39.879124,-83.04617,0
94,4YpDKbN5fjeduPVxE1f2Kw,Brother's Pizza House,42.468564,-71.178455,4
95,hrCpuDlWfbFHHr9I8W6O-A,Cilantro and Jalapeño,49.3102265171,-123.0819049048,1
96,U4sddbqRBCS4Km-B7y3vBA,Jolly Roger At John's Landing,45.4827956,-122.6760019,5
97,xY6MCYdKz339KxII-_ekFA,Edamame,42.3633808318,-71.1950764361,6
98,PDwWsE6XYJPR83HrBSDFIg,Pablo's Havana Cafe,40.1575346,-83.08787,4
99,573kl0gJWMq6LFNUyCudpw,San Francisco Tienda Mexicana,45.4754952717,-122.8013773242,7
100,fDagm540ieAAh5G9LA27Yg,Halal Bros,30.393005,-97.706731,6
101,iq2n_LJgdZZ6FpoQZTpD2g,Alberello Pizzeria,49.321967,-123.072807,6
102,t4Fd0eafK2KWFkV-afxxPA,Carabao Express,30.4177173,-97.7007401,7
103,D8-ssK_8w1WBajKCXUG5Uw,Baja Box,42.2762493274,-71.0088366667,1
104,ORhpT5x2G4hewGQn7_oWmA,Biscuits Cafe,45.4160477657,-122.7200023379,2
105,9JRIp0cJUtCV_-riFGmDnQ,Vino Volo,49.1972558564,-123.1743979454,4
106,or-Kyw7kmNin1pWbu2RLJw,Lucile's Creole Cafe,40.0200923,-105.2776553,2
107,7lRIEq5_tBBR1T9d_vTDvQ,Yoko Sushi ,49.2492979664,-122.867572733,0
108,9c0TJ0m9Jq-PVyXUGzCT0A,Syrup Trap,45.629776,-122.671961,2
109,fRi0NgK65Inn8x9Pak9yMg,Spicy Cup Cafe & Bakery,40.0858653,-82.9649575,2
110,zyBC3BUkH9klhPhMyQmxAQ,Potbelly Sandwich Shop,45.5355829092,-122.8767311951,9
111,_TTsA0J7UfNkVyjp45G79Q,Red Robin Gourmet Burgers and Brews,40.073398,-83.132336,0
112,P-5Ze1LN_KqrWBhha-kJTA,Fresh Start Cafe and Bakery,40.2994699,-83.0674219,2
113,GzlroXsuFyMDv8qS2VM3kw,Caffè Nero,42.3103234,-71.2768182,2
114,q5VXVDhIeFlfofTn_PKxCQ,El Zócalo Mexican Restaurant,28.808765,-81.265112,7
115,T55nNWr06T492oDUh0R8bQ,Cilantro's,30.2100611,-97.7868812,0
116,tjCT7EyHjDxnB5NCjxCnRg,Bar Rione,45.5289822,-122.6831063,3
117,QLavaVgcy8u0gpYbSPLEqw,Taco Bell,45.5247072,-122.8155379,8
118,YIMAkkwK_8sBlUEnesSCZA,Ghost Runners Brewery and Kitchen,45.669005,-122.628505,5
119,_rt-Z934kfFzgG19nTrIcQ,Pelons Tex-Mex,30.2688384,-97.7365492,5
120,uMPGs_Jc1fBoxeGrCKqRiw,Panda Express,45.533263,-122.5373376,8
121,ijXamJnJ1oVGKon_K-DYpA,Nespresso Boutique at Bloomingdales,42.3214163153,-71.1752104658,8
122,Ttdi1GklLuUL2Jfz25NAOQ,Morelia Mexican Grill,45.643388,-122.610665,6
123,A-xLw4u4wYusT1A2N-1Vxw,Zoe's Chinese Restaurant,42.3835307,-71.1131702,1
124,ZnZRIs5GmA9VGa_RwFsHaQ,The Bogey Bar & Grill,40.153431,-83.1289626,5
125,zQRbAOceJyC7xVBBRny2HQ,Bites & Bubbles,28.5572082,-81.36474,3
126,fTSKD2e4FTyUbHCl93t1ow,Momo N Curry,42.382105,-71.1018281,1
127,mvCO6pRpfMB0_1GLlwgZRw,Sushi California,49.2630454634,-123.112614326,6
128,Z1eRppVpwQXgzAxAc1unTA,MYST Asian Fusion,49.2193525649,-122.9706721008,6
129,jyBiQI0XtESTGHXODCFsJQ,Romer's Burger Bar,49.2680701,-123.1475085,6
130,PGp6WaZz8OdhyTc6cUbTUw,Taranto's Pizzeria,40.1561535998,-83.0009796,6
131,LSmYTw4HvU0lDBK4Mg2KyQ,Shenannigans Bar,42.3383941,-71.0498008,5
132,Wo7xNKWlq3i5q20VkBb6IQ,Mejana Mediterranean,28.5105029935,-81.1561918371,4
133,hZOYhhNMP_yiR7QJT4qawg,Fish Market Sushi Bar,42.3529528,-71.1329989,1
134,EvVCF3mompCg3PPkpqip2A,Mr. Red Cafe,49.2640755304,-123.1659137158,6
135,Hfg_gRsUCEE1-CdFVxa0dw,Kabob Land,33.8426915242,-84.3704558133,6
136,IpNJfLJ6R3RjZJF_ucGaZA,Popeyes Louisiana Kitchen,28.811882,-81.344261,8
137,Wb-S3JBo1ulOiDFv6t9YWg,Dunkin',42.5339175,-70.8871985,7
138,J8Ha6yIvGoU-E31jnCq7Ew,Barley Swine,30.3412737662,-97.7383886364,3
139,dd3moZV5D516pE9TcQnHsA,Joyful Seafood Restaurant,49.2227533,-122.9810296,8
140,zZIWHmITwqaC8OhnPkjEIQ,"Snooze, an A.M. Eatery",30.3059071,-97.7431556,2
141,klSacu5BqdqzLuTz7bmteA,Stanley's Corner,45.3762946,-122.6022879,6
142,jh07n3CFoc8gskZ8F-2g9w,Farm Burger,33.847331,-84.372713,9
143,bgiYHi1XjnOe_eZtcRq55g,Matt's BBQ Tacos,45.512267,-122.6323559,8
144,xLiiQ-MV2ZVpYtu9Sht4hw,McGann's Pub,42.3645177,-71.061731,0
145,SM8FwMK0BKRez1pp45ooVQ,Stone Fired Pizza,28.475377,-81.3691319,9
146,RKYJVJ2VxG_4Xhu7qtP-mg,Tacos Don Pepe's,28.6676625,-81.5089363,8
147,xGXzsc-hzam-VArK6eTvtw,The Burren,42.3954502,-71.121741,5
148,pKvT7mixZLS3bJoxzsVbPw,Virgils Gullah Kitchen & Bar,33.6537153,-84.4498588,5
149,rDLPdfI6TOsQlTf6AQaCTA,Akari Japanese Restaurant,49.134882957,-122.8919201082,6
150,qrewjzLzfkSClGbc_1tbyA,Panda Express,28.672014,-81.33854,8
151,w89ay2pZDTd-3cJsRlx22Q,SquareRüt Kava Bar,30.318749,-97.73152,5
152,At7qKvhtczclWA1TubAayQ,Bun's House,42.4146976,-71.0480985,7
153,dynb8-X4bGTl_BSX9ZxlPA,Mama Mimi's Take N Bake Pizza,40.0217904,-83.0136254,8
154,YKwVqpzIUv97eH-67_8kHA,Starbucks,30.304773,-97.934122,7
155,5Ar1f4nBT7F3YHoo9wWPjQ,99 Restaurants,42.5122081,-71.0246581,6
156,JcxSnoXt1q6LdSEgwJsdRQ,Rogue Kitchen & Wetbar,49.263047,-123.117827,3
157,Twl0z_0h_JvJDKS2lxPjVA,I Yit Ho,42.5488738,-71.0063637,0
158,WJJajrWufzhcnaP43jPIDA,Mr Shawarma,49.2853482,-123.1206773,1
159,LOiS95cRQbPrbRZ2-fMXbg,Shane's Rib Shack,33.758258,-84.3484743,1
160,3JrdnGYWUzUzepplmi7HlA,Sweet Mama's Restaurant,28.411547,-81.240481,2
161,mW4zQv4EMCWvBm-w2DDsmw,Taco-Miendo,30.415048,-97.6956507,4
162,HNY4r-VnJq9JlnQQfdnyZQ,Fin's Sushi & Grill,42.352114,-71.064379,6
163,MASEgGo5kk8AKnMP4s5MRg,New Taj Mahal Indian Restaurant,40.0104353,-83.0105431,6
164,w3HSOOqJednBOYbO3fajvQ,Les Faux Bourgeois,49.2572813531,-123.0897673308,3
165,JpnTfmWmeo0YQEEFdam_MQ,Cook's Window Pizza,42.3254256281,-71.2600682011,4
166,rZ5me9UfAgY7jDcpLgQf8w,Donna's Donuts,42.5862169,-71.1987621,7
167,XbB45YpsaI2qg2s3qBfYyg,Antica Pizzeria & mozzarella Bar,28.663583,-81.392766,5
168,Mw9Locfp_Qc_T_QDyLR3cQ,Roque Pub,28.5234748,-81.3440402,5
169,wv314cvTXt7-0dr0SpCQAw,Chipotle Mexican Grill,42.519645,-71.092429,8
170,mCByT6Z8sXeXbHNqJ3k-oA,1000 Degrees Neapolitan Pizzeria,28.5514678821,-81.5854815836,8
171,g93Zs0YcG5B7Zcz_YWXXkA,99 Saloon & Grill,45.6735829,-122.6625675,0
172,bkFK5XEQef-F0rTxmktfzg,Mellow Mushroom Atlanta - Buckhead,33.802353,-84.393173,9
173,7lJXIkwfd-SmYGaQhg2zRg,City Works,42.362341,-71.157613,0
174,lYy9T8B4al08kHXSDuUZjQ,Little Ongpin,49.1839382199,-123.0920923938,6
175,Lcl3E29jwhK3HUYzvoA_1A,Jolie Tea Company,42.522424,-70.889903,7
176,_mJEEcIYYhM3bE5ubIqe9Q,The Hangry Bison,28.602052,-81.362824,5
177,I8LnJbP17NHjXx3910cNvw,Taqueria Luna,45.4672699,-122.6531317,8
178,J4dYSpqy6wxB2c8XNgsIJw,Taqueria Antojitos Yucateco,45.5192806032,-122.5585593831,9
179,96RV4GvZdPahV-brg3hnOQ,The North End,42.3636176318,-71.0547208786,0
180,kqhHw_9KA30_RYk66mMbJA,Pizza Hut,49.222595,-122.914629,0
181,HxegWRjhi7m73mXRI8qQIg,Rangzen Tibetan Place,42.364167,-71.102964,1
182,OujJ-zcC0ne8370rJH0sPQ,Papa Gino's,42.19154,-71.196558,7
183,uTMksZ_1M8hoZb1l1q7vcQ,12 West,40.2990181,-83.0683415,6
184,hWRZaOk4JWUPFhcomdOLwA,Pizza Hut,38.7371212505,-98.2163099154,0
185,08xNWFnK7VoMjjQSEqd2Qw,Ming Dragon Express,28.420153,-81.461639,0
186,AiqkdXibOyg-u2VZNfJRUQ,Mangos Caribbean Restaurant,33.7380400882,-84.4142397082,4
187,SqxZZ3GY-vKQnWj1PIserw,Carroll's,42.417915,-71.110155,6
188,tmvswVDr4n56EjWq_RptBA,Gusto Italian Kitchen & Wine Bar,30.3183136593,-97.7399416283,3
189,V7EfFkNWGjSCZyyMP1yzVA,Starbucks,42.3302449,-71.194979,7
190,7rn7i2hdfiGX1lWobZJXBQ,Red Lobster,28.381024,-81.502994,6
191,ZjizmUFYq7NP8N-FAbtzFw,Herrera's,42.3552702,-71.0625677,1
192,M3fWBfeqejKJYB7CWH8qSA,Bob Evans,40.0895569,-82.8237941,2
193,lITQyMEAaDhLoeeviOGbSw,Domino's Pizza,30.014288,-97.8909972,8
194,ArJWECiwKAANRo_IQWXFUQ,McDonald's,42.3627779878,-71.1369355264,8
195,slBGJOdBV1KHzNoWf2e2FQ,Pho 99 Broadway Tech Centre,49.2596365,-123.0434793,8
196,_IFMCrheTi12RqiR7jvJUg,Little Rey,33.807972,-84.3663421,7
197,eDqlv7ssRSjgGZl25L6Zag,Marlow's Tavern,28.6565699083,-81.2030373082,5
198,2SbmgX5eHK4EMaIJmO1qbw,Song La,30.2861986,-97.7425615,1
199,fe82jepc2aVgTWwLGU9kVA,Cathay Kitchen,42.2482483,-71.172422,1
200,01FeyfdV1IozLwDntJW49A,Pho Boi,49.2236549,-122.9838496,8
201,ecqjHw3jeEApa9eZ622hAA,Fin Point Oyster Bar + Grille,42.3574253792,-71.053025584,3
202,miw4H3j5vBJvU3x-CPjtaA,Screamers Soft Serve and Treats,49.1247293611,-123.1859490768,8
203,-Yt1oOD4xufkz6lIjm_XCA,Crystal,42.3555024288,-71.1309472693,0
204,xdRNkYwBW0SdULrUgNYp5Q,Rizzo's Pizzeria & Grille,42.5999126604,-71.0226062357,8
205,N8o5skUduHpr4QGFcAp8AQ,El primo-La Casa De Las Alcapurrias,28.2595456395,-81.4366966667,4
206,4THc7ojs6ppNHKhLl74www,Rice Bowl Cafe,30.382482,-97.688518,9
207,6EwA03Jcw5VaPc8BNiwrpw,Pizza Hut,42.4144302618,-71.0467332602,0
208,jvnuFNDtIxVDBrm2wIOiRA,Sea To You Sushi,42.3646105,-71.1977411,1
209,_aGG6e3dWYrKyFNpdK_vpA,Sushi Maki Japanese Cuisine,49.2807542,-123.1249069,1
210,1eyv_Nm2KHOmGGb7je21Ug,Fuzzy's Taco Shop,28.5665610177,-81.1952380621,9
211,EmJOkTKIwgm7QJbls7hN3w,Seven Lamps,33.8470360281,-84.3656622762,3
212,QdzRS1s0tSltIokm2xV-kA,Border Grill Fresh-Mex,28.483564,-81.456769,9
213,EUe1bX5VtvlPn1YvFk3lzQ,Mangino's Bistro,28.399371,-81.547904,8
214,DrQuKhjlSbamzC9F0lXOzQ,Cloud 9,45.6174166,-122.5260809,6
215,DSEsFWzM3UCq54E2X0P9Zg,Mangieri's Pizza Cafe,30.2013359078,-97.8789947359,6
216,Fxdy2WZ6LAu_C5SPJpqApw,Pattycake Bakery,40.023558,-83.014092,1
217,SC1OR4VRY5chOZkDXvIGVw,Coffee + Vanilla,49.2487642368,-122.8631833657,8
218,4XLSNVJcveUz2P8cck9OZA,Tacos Durango,30.3998349099,-97.704408969,8
219,Lg7aBaURc2MiAhM4ZJldvQ,Westgate Lakes Resort and Spa,28.4277525796,-81.4751889307,7
220,4SkIgjCMDmwW1J1JNj7d_A,Quiznos,30.2717517,-97.7418188,0
221,2zDmhJcoHc1yQ7Vwgimk0g,Teote Outpost,45.5215004,-122.6724068,8
222,jLo_xMHMSWSOba9TEseFKA,Your Inn Tavern,45.5937668,-122.7617864,3
223,5Vrg_1JXv0B6pvkdLVxvnw,Kkoki Korean BBQ - Portland,45.4990766,-122.5802742,7
224,-kcM672owPBvJzDqQ4My_Q,What the Waffle,39.966998,-82.982509,7
225,sc6MNZGtDcT4e8b3Jiod-g,Ramen Kobo,49.17711499,-123.1461981458,8
226,a9dNRK9qulD59jwIHbzllA,Loops,39.9916187,-83.0407084,9
227,MYmjlLFFhlybZF5mU17Cjw,Osio,30.2574765541,-97.8075747663,1
228,Vd4aepl7CMBYWsZ97iRFtg,Boston Marriott Cambridge,42.3630072177,-71.0862306786,0
229,BJXadWOLyGXzly7Iqx4W_g,El Potro Mexican Grill,42.4193814,-71.080086,5
230,X3i217AeA8VBkf7are9A6w,Popeyes Louisiana Kitchen,45.496235,-122.886416,9
231,C8K5GvhWNYY4zBijgekT3g,Tractor,49.2695864693,-123.1028566413,1
232,cmFvz2m5NIyq9PAo4-qCGA,1776 Cheesesteak,30.2416861,-97.7268397,4
233,UWmHJ5vJuLu4ZsP7DCWx8Q,Vatica Indian Cuisine,33.91578,-84.468866,9
234,iSZr88JwUvMDXwBhuLsnOQ,Mr Crabs Seafood & Bbq,33.7180641624,-84.2113228758,8
235,SyQ1JRfIbMLIUlFHAkEB6w,Days Inn Downtown,49.2863606,-123.116895,0
236,8cKyXs9WLwajEBlWk_ZhWw,Holy Smokes Righteous Eats,45.4853202,-122.7178121,8
237,ENCkRJI7lC_Gwyjkb94Mew,The Boston Chipyard,42.3602467398,-71.0549194749,7
238,VlxRS-4T9a2OCbUX8NnEhw,Medellín Burger,28.6636929,-81.3476546,4
239,Rbt9i4IDFiIBsau020X_xQ,Rosetta Hall,40.0170388,-105.2806943,3
240,ZHbiidBB8LVmh_hQQbRjig,Thai Son Restaurant,49.2629941,-123.0967589,1
241,wnW0uvpJyLRPc_BIO3vuHw,Raising Cane's,30.2395641,-97.726967,7
242,oYpQs22iUr68hSiTh7pMRA,Restaurante Cesaria,42.306897,-71.06660294,6
243,3cLBtLFiH8IRdlEy9S8RiQ,Sofrito Latin Cafe,28.3861008,-81.5041923,2
244,gAjatT2KWVbEI6dVa-Kd0A,Tony's Fish & Oyster Cafe,49.2707061,-123.1364206,1
245,AdUtIbv3QcdaQpv_D0duQA,Copper City Espresso,42.1841964,-71.1329685,7
246,u-tcnG8zdDG8QWYTctxyfg,Cactus Club Cafe,49.2633734327,-123.1171303272,5
247,Y2cj0TQvfSdRU3H55CkEgA,Shake Shack,33.923196,-84.339909,5
248,eLrJdEYwxzJgddnqawDQ1g,Pasta Vino,33.820152,-84.387432,0
249,c8Bg0v5Z9mqXd-CEgl6Qmw,Jimmy John's,28.5867373,-81.3634275,7
250,1l-vqoiiabP4UWY5llZI_w,Goldilox Bagels,42.416796,-71.1184622,7
251,AXFwfcvUWwBWY-1AjJtOpg,Pizza Nostra,45.5483779653,-122.6131725311,1
252,ddXoKyIQnrG9TTC32xLuCw,Overtime Sports Pub,40.03911666,-83.1806123724,5
253,QwxkPvSZtyIb0hLBwhBzAg,Safeway,45.5279674,-122.8144201,0
254,j5zr_G7FcXU-XBpvGJQ9VQ,Nón Lá,45.3915656,-122.7515058,5
255,vE6ZtSOEpFWbpl8KmEqv7g,Truva Turkish Kitchen,33.759901,-84.3857823,3
256,pNgTc2M_wtDGd3MQNJ3Odw,Blaze Pizza,42.4850155,-71.2191006,8
257,-dNzrtdgR9v5kbqxw0ZKoA,Gabriela's Downtown,30.2665385,-97.7330347,5
258,9YuN48Y2S-E70Oos9yHSMw,Bhuna,45.5278598478,-122.694169879,3
259,_ibV5OwG7vmuQ3WKDFPOyw,Alamo Drafthouse Cinema Mueller,30.2988474,-97.7042499,3
260,KR4byEwMJ2iC3hlHiX6gVQ,Burger King,33.785385,-84.40711,9
261,_wxfT0VYU3couUnWqMgjMA,May's Cafe Chinese Food,42.4054749,-71.1083572,1
262,xoFAXCla3ou5D29g3-WcHA,Tecce's Santoro's of Peabody,42.5248616,-70.9254919,8
263,4HiYQ84s7Mqy7iY8vp9_xA,Tortas El Rey,28.4673631,-81.3959895,9
264,u6X-4q4wh5SM0E1UxedC9A,Ange's Pizza,40.0444168211,-82.8634448501,0
265,ZRDVnQ-HsyYmuccAEM-sRQ,The Pizza Press,28.3336498401,-81.5279440329,5
266,UAtX7xmIfdd1W2Pebf6NWg,Sidebar Boston,42.3564016,-71.0600964,5
267,BkbqFtF0rK2DS9c5GsOA_w,Boston Lobster Feast,28.3334614,-81.5260852,6
268,ynF99WDWAz3KS2vPOZoq9Q,"George's Roast Beef, Seafood and Pizza",42.463119,-70.940228,1
269,MyuVJzBb0WYWUU2bOBBDrg,Tucci's,40.1002297,-83.114502,3
270,KTRhicnD-1DHJJDjTy2Y_A,Caffe Antico,33.7842287523,-84.4054824845,2
271,vKYHls5FMw5Syjgkf9tiRQ,Chili's,28.3575050177,-81.6773627407,5
272,83_2zoVR2YmUse288HsK8g,The Stacks Coffeehouse,45.5629371,-122.6862232,8
273,QFEEm3joTWU5ZF4suCuRPQ,Five Horses Tavern,42.3417445442,-71.0805253553,5
274,BOzdu1Rv8ootQpnSBdhrng,Beantown Pho & Grill,42.3491028,-71.083413,6
275,EwmbXInzS4A9LuFG6C3Otg,Tian Shi Fu,49.17879,-123.132851,7
276,0gn3CVA33_jKAxR5RzLPWg,Dawghouse Pizza & Bar,39.923732,-82.965665,4
277,3ejTwwDZ-2zbWBFaly46wg,Bruegger's Bagels,39.9946317439,-83.0142402649,2
278,FZ2T63p2enpFEpsYxcz_TA,Yogi's Hoagies,40.1134853,-82.927487,9
